caching,access_pattern,payload_weight,entropy,network,density,concurrency,metric,group_a,group_b,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
on,zipfian,heavy,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,137.980201125,149.34255637500002,
on,zipfian,light,medium,constrained,medium,10,lat_p95,rest,graphql,2,2,,,,,insufficient_n,142.61749325,156.30236694999996,
off,uniform,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,81.608348705,157.406873295,
off,uniform,light,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,85.85922499,158.75106019999993,
off,unique,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,81.90079162500001,171.128047605,
off,unique,light,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,86.76283826999997,165.60208241499998,
off,zipfian,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,84.44083642999999,162.65507104999995,
off,zipfian,light,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,91.72049930500006,212.65305290000003,
on,uniform,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,148.42019542999998,217.06710046999996,
on,uniform,light,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,156.80826517000003,190.4965614400001,
on,unique,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,148.09826386,186.13317053500003,
on,unique,light,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,156.76331469000002,198.26706196000004,
on,zipfian,heavy,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,144.46657140000002,185.4766070299998,
on,zipfian,light,medium,constrained,medium,10,lat_p99,rest,graphql,2,2,,,,,insufficient_n,148.18477839999997,187.55915851499998,
off,uniform,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,148.76583426343126,103.21151727989485,
off,uniform,light,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,145.0502510633571,100.26679415051487,
off,unique,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,147.82723107780723,101.84741405147795,
off,unique,light,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,145.79350386418173,97.47325002685821,
off,zipfian,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,148.02919927143046,100.92127911837707,
off,zipfian,light,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,142.60498593048115,89.45357116215295,
on,uniform,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,77.24060732209425,68.14608041178695,
on,uniform,light,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,77.70252003317648,77.86254481232956,
on,unique,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,89.73572765494686,82.2183405239029,
on,unique,light,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,85.53193923596496,81.48928117178743,
on,zipfian,heavy,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,102.1915720703741,95.74153566251181,
on,zipfian,light,medium,constrained,medium,10,throughput_rps,rest,graphql,2,2,,,,,insufficient_n,104.47521297586592,95.41675891150008,
off,uniform,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,646.5,496.5,
off,uniform,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,1481.5,1315.5,
off,unique,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,652.75,555.5,
off,unique,light,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,1620.0,1599.5,
off,zipfian,heavy,medium,constrained,medium,10,payload_bytes_med,rest,graphql,2,2,,,,,insufficient_n,854.5,688.5,
