protocol,pattern,density,concurrency,metric,n,shapiro_p,non_normal
graphql,aggregate,medium,10,throughput_rps,30,0.6090107680381411,False
graphql,aggregate,medium,50,throughput_rps,30,0.27425919246752195,False
graphql,aggregate,medium,100,throughput_rps,30,0.1473090599457368,False
graphql,baseline,high,10,throughput_rps,30,0.9035285681810936,False
graphql,baseline,high,50,throughput_rps,30,0.12114783542235996,False
graphql,baseline,high,100,throughput_rps,30,0.6329837843694979,False
graphql,baseline,low,10,throughput_rps,30,0.283961571849108,False
graphql,baseline,low,50,throughput_rps,30,0.6736015203077768,False
graphql,baseline,low,100,throughput_rps,30,0.4464443339623523,False
graphql,baseline,medium,10,throughput_rps,30,0.7389477569870659,False
graphql,baseline,medium,50,throughput_rps,30,0.6538698399390517,False
graphql,baseline,medium,100,throughput_rps,30,0.011882793734703682,True
graphql,filtered,high,10,throughput_rps,30,0.0693882051614624,False
graphql,filtered,high,50,throughput_rps,30,0.30983371984824404,False
graphql,filtered,high,100,throughput_rps,30,0.20691287685374343,False
graphql,filtered,low,10,throughput_rps,30,0.9621712731854267,False
graphql,filtered,low,50,throughput_rps,30,0.40243422908188187,False
graphql,filtered,low,100,throughput_rps,30,0.22884751770074385,False
graphql,filtered,medium,10,throughput_rps,30,0.8718767826320021,False
graphql,filtered,medium,50,throughput_rps,30,0.24385754116280683,False
graphql,filtered,medium,100,throughput_rps,30,0.024275693829304636,True
graphql,partial,high,10,throughput_rps,30,0.06348839403422121,False
graphql,partial,high,50,throughput_rps,30,0.19126056369224598,False
graphql,partial,high,100,throughput_rps,30,0.28426592356282265,False
graphql,partial,low,10,throughput_rps,30,0.3106561441434919,False
graphql,partial,low,50,throughput_rps,30,0.008508593144300067,True
graphql,partial,low,100,throughput_rps,30,0.012890115227129751,True
graphql,partial,medium,10,throughput_rps,30,0.03908333594948935,True
graphql,partial,medium,50,throughput_rps,30,0.08675745334214971,False
graphql,partial,medium,100,throughput_rps,30,0.08445766972373171,False
rest,aggregate,high,10,throughput_rps,30,0.6967354998804549,False
rest,aggregate,high,50,throughput_rps,30,0.4179334024169837,False
rest,aggregate,high,100,throughput_rps,30,0.35019915949178937,False
rest,aggregate,low,10,throughput_rps,30,0.029257553246483575,True
rest,aggregate,low,50,throughput_rps,30,0.07278110433550097,False
rest,aggregate,low,100,throughput_rps,30,0.639095161446962,False
rest,aggregate,medium,10,throughput_rps,30,0.35302508787277365,False
rest,aggregate,medium,50,throughput_rps,30,0.6386732152603225,False
rest,aggregate,medium,100,throughput_rps,30,0.003986846515522658,True
rest,baseline,high,10,throughput_rps,30,0.7422169191972203,False
rest,baseline,high,50,throughput_rps,30,0.2114072420059579,False
rest,baseline,high,100,throughput_rps,30,0.46785217244925775,False
rest,baseline,low,10,throughput_rps,30,0.0017851089225080635,True
rest,baseline,low,50,throughput_rps,30,0.05708353185215132,False
rest,baseline,low,100,throughput_rps,30,0.069984511478062,False
rest,baseline,medium,10,throughput_rps,30,0.6615811694248304,False
rest,baseline,medium,50,throughput_rps,30,0.8941871877796169,False
rest,baseline,medium,100,throughput_rps,30,0.12227489791064078,False
rest,filtered,high,10,throughput_rps,30,0.13759764232981048,False
rest,filtered,high,50,throughput_rps,30,0.8757855741711087,False
rest,filtered,high,100,throughput_rps,30,0.19854226009936266,False
rest,filtered,low,10,throughput_rps,30,0.24446653478515418,False
rest,filtered,low,50,throughput_rps,30,0.9168843674463647,False
rest,filtered,low,100,throughput_rps,30,0.288875777409196,False
rest,filtered,medium,10,throughput_rps,30,0.5749080915660505,False
rest,filtered,medium,50,throughput_rps,30,0.001541746243875366,True
rest,filtered,medium,100,throughput_rps,30,0.5787352023347838,False
rest,partial,high,10,throughput_rps,30,0.07772279194055234,False
rest,partial,high,50,throughput_rps,30,0.4502742442447862,False
rest,partial,high,100,throughput_rps,30,0.07200230387049768,False
