pattern,density,concurrency,metric,n_rest,n_graphql,median_rest,median_graphql,mwu_U,p_raw,cliffs_delta,magnitude,favored,p_bh,significant_bh
baseline,high,50,payload_bytes_med,30,30,9261.0,9291.0,145.0,9.532719051588842e-07,-0.6777777777777778,large,rest,1.2710292068785121e-06,True
baseline,high,100,payload_bytes_med,30,30,9261.0,9291.0,280.0,0.0070323998330544995,-0.37777777777777777,medium,rest,0.007233325542570342,True
baseline,low,10,payload_bytes_med,30,30,1864.0,1894.0,245.0,0.0016770065508931455,-0.45555555555555555,medium,rest,0.0018866323697547887,True
baseline,low,50,payload_bytes_med,30,30,1864.0,1894.0,221.0,0.00039669455858856164,-0.5088888888888888,large,rest,0.00046067755190929745,True
baseline,low,100,payload_bytes_med,30,30,1864.0,1894.0,180.0,3.0726972069764855e-05,-0.6,large,rest,3.6872366483717826e-05,True
baseline,medium,10,payload_bytes_med,30,30,5502.0,5532.0,21.0,1.5592528913450377e-10,-0.9533333333333334,large,rest,3.1185057826900753e-10,True
baseline,medium,50,payload_bytes_med,30,30,5502.0,5532.0,53.0,3.796937146464913e-09,-0.8822222222222222,large,rest,5.9430320553363855e-09,True
baseline,medium,100,payload_bytes_med,30,30,5502.0,5536.5,77.0,2.9951427726531574e-08,-0.8288888888888889,large,rest,4.4927141589797364e-08,True
filtered,high,10,payload_bytes_med,30,30,3319.0,3349.0,247.0,0.0021096703826884106,-0.45111111111111113,medium,rest,0.0023014585992964477,True
filtered,high,50,payload_bytes_med,30,30,3229.0,3259.0,332.0,0.07495754984602933,-0.26222222222222225,small,rest,0.07495754984602933,False
filtered,high,100,payload_bytes_med,30,30,3229.0,3259.0,249.0,0.002272937225802244,-0.44666666666666666,medium,rest,0.0024066394155553175,True
filtered,low,10,payload_bytes_med,30,30,524.0,554.0,50.0,4.401594358561193e-10,-0.8888888888888888,large,rest,7.545590328962044e-10,True
filtered,low,50,payload_bytes_med,30,30,524.0,554.0,25.0,3.422409008877349e-11,-0.9444444444444444,large,rest,7.247454371740268e-11,True
filtered,low,100,payload_bytes_med,30,30,524.0,554.0,42.0,2.1360206172127098e-10,-0.9066666666666666,large,rest,4.0471969589293445e-10,True
filtered,medium,10,payload_bytes_med,30,30,1963.0,1993.0,30.0,3.1879910305864926e-10,-0.9333333333333333,large,rest,5.738383855055687e-10,True
filtered,medium,50,payload_bytes_med,30,30,1963.0,1993.0,0.0,1.8024407700069794e-11,-1.0,large,rest,4.634847694303662e-11,True
filtered,medium,100,payload_bytes_med,30,30,1963.0,1994.5,0.0,1.987878588619384e-11,-1.0,large,rest,4.770908612686521e-11,True
partial,high,10,payload_bytes_med,30,30,4444.0,4474.0,120.0,9.17407134178031e-08,-0.7333333333333333,large,rest,1.3210662732163647e-07,True
partial,high,50,payload_bytes_med,30,30,4444.0,4474.0,174.0,1.3086901554628662e-05,-0.6133333333333333,large,rest,1.624580882643558e-05,True
partial,high,100,payload_bytes_med,30,30,4444.0,4474.0,145.0,1.1211746739433193e-06,-0.6777777777777778,large,rest,1.4415102950699821e-06,True
partial,low,10,payload_bytes_med,30,30,922.0,952.0,0.0,1.7367261547865586e-12,-1.0,large,rest,8.931734510330873e-12,True
partial,low,50,payload_bytes_med,30,30,922.0,952.0,0.0,3.30934591945612e-12,-1.0,large,rest,1.323738367782448e-11,True
partial,low,100,payload_bytes_med,30,30,922.0,952.0,54.0,9.945363989811098e-10,-0.88,large,rest,1.6274231983327252e-09,True
partial,medium,10,payload_bytes_med,30,30,2639.0,2670.0,0.0,2.1639159533290942e-11,-1.0,large,rest,4.868810894990462e-11,True
partial,medium,50,payload_bytes_med,30,30,2639.0,2671.0,0.0,1.6722384777129456e-11,-1.0,large,rest,4.634847694303662e-11,True
partial,medium,100,payload_bytes_med,30,30,2639.0,2669.0,0.0,1.7859665457534555e-11,-1.0,large,rest,4.634847694303662e-11,True
aggregate,high,10,xproc_p95,30,30,0.01416135,0.07965777499999996,0.0,3.019859359162157e-11,-1.0,large,rest,3.019859359162157e-11,True
