pattern,density,concurrency,metric,n_rest,n_graphql,median_rest,median_graphql,mwu_U,p_raw,cliffs_delta,magnitude,favored,p_bh,significant_bh
filtered,high,100,throughput_rps,30,30,300.21085984323514,95.35109665746589,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,low,1,throughput_rps,30,30,494.7163138146466,126.90362336258117,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,low,10,throughput_rps,30,30,566.9507971296619,128.39684839257097,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,low,50,throughput_rps,30,30,525.2414856220402,128.71837891868586,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,low,100,throughput_rps,30,30,507.5179994925272,125.66548784551226,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,medium,1,throughput_rps,30,30,372.33724837207,109.70003140240325,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,medium,10,throughput_rps,30,30,409.6985289379085,111.60542422617036,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,medium,50,throughput_rps,30,30,388.82222337865966,109.37596736288731,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
filtered,medium,100,throughput_rps,30,30,378.2767774726698,108.90549965033674,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,high,1,throughput_rps,30,30,262.9139895446355,94.65861144087717,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,high,10,throughput_rps,30,30,264.58911854551457,98.04063290322232,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,high,50,throughput_rps,30,30,253.60784740308702,95.39969284688397,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,high,100,throughput_rps,30,30,247.06597657805997,94.15645404799224,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,low,1,throughput_rps,30,30,514.8527644049029,135.78053534608443,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,low,10,throughput_rps,30,30,572.9734311339402,142.82790406000277,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,low,50,throughput_rps,30,30,529.5968669925389,139.99039979261175,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,low,100,throughput_rps,30,30,512.2196521461008,136.88738477976,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,medium,1,throughput_rps,30,30,363.9630995276009,114.3526124147296,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,medium,10,throughput_rps,30,30,381.12204265174535,117.92418890302505,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,medium,50,throughput_rps,30,30,357.3858675769596,115.43207416513175,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
partial,medium,100,throughput_rps,30,30,345.3250254729045,113.61235878467527,900.0,3.019859359162157e-11,1.0,large,rest,3.019859359162157e-11,True
