protocol,pattern,density,concurrency,metric,n,shapiro_p,non_normal
graphql,partial,medium,1,throughput_rps,30,0.35760086850017225,False
graphql,partial,medium,10,throughput_rps,30,0.00022437784134388076,True
graphql,partial,medium,50,throughput_rps,30,0.33896358119074266,False
graphql,partial,medium,100,throughput_rps,30,0.14280892909568138,False
rest,aggregate,high,1,throughput_rps,30,0.00020737853215609987,True
rest,aggregate,high,10,throughput_rps,30,8.309821260982479e-07,True
rest,aggregate,high,50,throughput_rps,30,0.3481782827265214,False
rest,aggregate,high,100,throughput_rps,30,0.6830039693416697,False
rest,aggregate,low,1,throughput_rps,30,0.8111136463870321,False
rest,aggregate,low,10,throughput_rps,30,0.0048913647268491395,True
rest,aggregate,low,50,throughput_rps,30,0.01267456621753504,True
rest,aggregate,low,100,throughput_rps,30,0.3596027333623534,False
rest,aggregate,medium,1,throughput_rps,30,0.46170785310840934,False
rest,aggregate,medium,10,throughput_rps,30,1.2441824868282476e-08,True
rest,aggregate,medium,50,throughput_rps,30,0.4357969221827334,False
rest,aggregate,medium,100,throughput_rps,30,0.4623785471531946,False
rest,baseline,high,1,throughput_rps,30,0.0003642505804172544,True
rest,baseline,high,10,throughput_rps,30,0.9055964194215006,False
rest,baseline,high,50,throughput_rps,30,0.5601072826319646,False
rest,baseline,high,100,throughput_rps,30,0.0012617007094913482,True
rest,baseline,low,1,throughput_rps,30,0.005690088583473653,True
rest,baseline,low,10,throughput_rps,30,0.48955568925131765,False
rest,baseline,low,50,throughput_rps,30,0.21814926776576993,False
rest,baseline,low,100,throughput_rps,30,0.373864682483681,False
rest,baseline,medium,1,throughput_rps,30,0.9747738286855516,False
rest,baseline,medium,10,throughput_rps,30,0.0003767734721148538,True
rest,baseline,medium,50,throughput_rps,30,0.011395457847290501,True
rest,baseline,medium,100,throughput_rps,30,0.49166279662642987,False
rest,filtered,high,1,throughput_rps,30,0.9958493393276053,False
rest,filtered,high,10,throughput_rps,30,0.8448451764265512,False
rest,filtered,high,50,throughput_rps,30,0.6552252336282969,False
rest,filtered,high,100,throughput_rps,30,0.9995290331321801,False
rest,filtered,low,1,throughput_rps,30,0.12474040844993001,False
rest,filtered,low,10,throughput_rps,30,0.031770924879948356,True
rest,filtered,low,50,throughput_rps,30,0.5406075814013478,False
rest,filtered,low,100,throughput_rps,30,0.7773931143768884,False
rest,filtered,medium,1,throughput_rps,30,0.8662363069842229,False
rest,filtered,medium,10,throughput_rps,30,0.7883910357912411,False
rest,filtered,medium,50,throughput_rps,30,0.40334429317193143,False
rest,filtered,medium,100,throughput_rps,30,0.022817159192899075,True
rest,partial,high,1,throughput_rps,30,0.40064397614829333,False
rest,partial,high,10,throughput_rps,30,0.007263407032246993,True
rest,partial,high,50,throughput_rps,30,0.2712283504243096,False
rest,partial,high,100,throughput_rps,30,0.16382997883106154,False
rest,partial,low,1,throughput_rps,30,0.10043035693291136,False
rest,partial,low,10,throughput_rps,30,0.025038067209368964,True
rest,partial,low,50,throughput_rps,30,0.08625025426677391,False
rest,partial,low,100,throughput_rps,30,0.879237261860041,False
rest,partial,medium,1,throughput_rps,30,0.13357626115175514,False
rest,partial,medium,10,throughput_rps,30,0.44633142000814113,False
rest,partial,medium,50,throughput_rps,30,0.6268075673948731,False
rest,partial,medium,100,throughput_rps,30,0.2802576794420534,False
graphql,aggregate,low,1,payload_bytes_med,30,5.3070190354976275e-06,True
graphql,aggregate,low,10,payload_bytes_med,30,2.7843707820778157e-06,True
graphql,aggregate,low,50,payload_bytes_med,30,6.640075557543391e-08,True
graphql,aggregate,low,100,payload_bytes_med,30,1.3708970678067645e-06,True
graphql,aggregate,medium,1,payload_bytes_med,30,1.0004927068083847e-08,True
graphql,aggregate,medium,10,payload_bytes_med,30,2.723494605576618e-08,True
graphql,aggregate,medium,50,payload_bytes_med,30,1.3317096909830114e-08,True
graphql,aggregate,medium,100,payload_bytes_med,30,4.526357606719865e-08,True
graphql,baseline,high,1,payload_bytes_med,30,4.693094232651347e-06,True
graphql,baseline,high,10,payload_bytes_med,30,0.0002244535847194788,True
graphql,baseline,high,50,payload_bytes_med,30,9.501268690222747e-05,True
graphql,baseline,high,100,payload_bytes_med,30,0.0014295533931083287,True
graphql,baseline,low,1,payload_bytes_med,30,0.0007998899016170881,True
graphql,baseline,low,10,payload_bytes_med,30,0.006093893880017398,True
graphql,baseline,low,50,payload_bytes_med,30,0.0003741645643077725,True
graphql,baseline,low,100,payload_bytes_med,30,0.0001440246369100272,True
graphql,baseline,medium,1,payload_bytes_med,30,0.1645684981166437,False
graphql,baseline,medium,10,payload_bytes_med,30,0.2116317742596801,False
graphql,baseline,medium,50,payload_bytes_med,30,0.37828180986764504,False
graphql,baseline,medium,100,payload_bytes_med,30,0.1719080581599372,False
graphql,filtered,high,1,payload_bytes_med,30,9.955409309137966e-05,True
graphql,filtered,high,10,payload_bytes_med,30,0.002267419630696507,True
graphql,filtered,high,50,payload_bytes_med,30,4.47521132874649e-05,True
graphql,filtered,high,100,payload_bytes_med,30,3.883987124340861e-06,True
graphql,filtered,low,1,payload_bytes_med,30,3.018318294587309e-07,True
graphql,filtered,low,10,payload_bytes_med,30,7.546691527415185e-07,True
graphql,filtered,low,50,payload_bytes_med,30,4.0193688869504527e-07,True
graphql,filtered,low,100,payload_bytes_med,30,9.098425809039036e-07,True
graphql,filtered,medium,1,payload_bytes_med,30,4.574838819226539e-05,True
graphql,filtered,medium,10,payload_bytes_med,30,1.2130359810350262e-05,True
graphql,filtered,medium,50,payload_bytes_med,30,0.00021459244416770128,True
graphql,filtered,medium,100,payload_bytes_med,30,3.510559985193153e-05,True
graphql,partial,high,1,payload_bytes_med,30,3.058247141843565e-07,True
graphql,partial,high,10,payload_bytes_med,30,4.41379280878438e-07,True
graphql,partial,high,50,payload_bytes_med,30,3.0095538076052195e-08,True
graphql,partial,high,100,payload_bytes_med,30,4.704285003850227e-05,True
graphql,partial,low,1,payload_bytes_med,30,0.00017408726593482143,True
graphql,partial,low,10,payload_bytes_med,30,0.0005099350601551193,True
graphql,partial,low,50,payload_bytes_med,30,0.0019251832195683405,True
graphql,partial,low,100,payload_bytes_med,30,0.0026282631359211307,True
graphql,partial,medium,1,payload_bytes_med,30,0.004135073103871651,True
graphql,partial,medium,10,payload_bytes_med,30,0.003154434835303887,True
graphql,partial,medium,50,payload_bytes_med,30,0.00023322039891091677,True
graphql,partial,medium,100,payload_bytes_med,30,0.00014674425289842627,True
rest,aggregate,low,1,payload_bytes_med,30,4.401719843571043e-11,True
rest,aggregate,low,10,payload_bytes_med,30,5.981489927588452e-10,True
rest,aggregate,low,50,payload_bytes_med,30,4.432146480631244e-09,True
rest,aggregate,low,100,payload_bytes_med,30,4.432146480631213e-09,True
rest,aggregate,medium,1,payload_bytes_med,30,7.464252704389835e-09,True
rest,aggregate,medium,10,payload_bytes_med,30,5.167437688913744e-07,True
rest,aggregate,medium,50,payload_bytes_med,30,4.081419567847744e-08,True
rest,aggregate,medium,100,payload_bytes_med,30,2.841644344280336e-09,True
rest,baseline,high,1,payload_bytes_med,30,1.6174021516044427e-05,True
rest,baseline,high,10,payload_bytes_med,30,8.17919957197788e-07,True
rest,baseline,high,50,payload_bytes_med,30,2.153130360112966e-09,True
rest,baseline,high,100,payload_bytes_med,30,9.646710796943329e-07,True
rest,baseline,low,1,payload_bytes_med,30,2.6163006490000563e-06,True
rest,baseline,low,10,payload_bytes_med,30,3.135583710930107e-05,True
rest,baseline,low,50,payload_bytes_med,30,7.518155418803662e-06,True
rest,baseline,low,100,payload_bytes_med,30,0.00012446930473561374,True
rest,baseline,medium,1,payload_bytes_med,30,0.009555463968527682,True
rest,baseline,medium,10,payload_bytes_med,30,0.18553358340980158,False
rest,baseline,medium,50,payload_bytes_med,30,0.010239153666258797,True
rest,baseline,medium,100,payload_bytes_med,30,0.11995237073754894,False
rest,filtered,high,1,payload_bytes_med,30,9.627006720870433e-06,True
rest,filtered,high,10,payload_bytes_med,30,7.842586512655958e-06,True
rest,filtered,high,50,payload_bytes_med,30,3.0441843614663368e-05,True
rest,filtered,high,100,payload_bytes_med,30,9.387240304231697e-05,True
rest,filtered,low,1,payload_bytes_med,30,1.984347346622794e-10,True
rest,filtered,low,10,payload_bytes_med,30,7.522490037213789e-10,True
rest,filtered,low,50,payload_bytes_med,30,7.399898856880257e-10,True
rest,filtered,low,100,payload_bytes_med,30,2.5633093720623254e-08,True
rest,filtered,medium,1,payload_bytes_med,30,0.000146340804687675,True
rest,filtered,medium,10,payload_bytes_med,30,4.6628284532717484e-05,True
rest,filtered,medium,50,payload_bytes_med,30,2.8984059254684014e-05,True
rest,filtered,medium,100,payload_bytes_med,30,9.431299528733825e-07,True
rest,partial,high,1,payload_bytes_med,30,6.563072795841853e-10,True
rest,partial,high,10,payload_bytes_med,30,1.2847881806750433e-08,True
rest,partial,high,50,payload_bytes_med,30,2.8399229550517772e-09,True
rest,partial,high,100,payload_bytes_med,30,1.6490055732289562e-09,True
rest,partial,low,1,payload_bytes_med,30,4.061470524807404e-06,True
rest,partial,low,10,payload_bytes_med,30,1.6439244628099244e-05,True
rest,partial,low,50,payload_bytes_med,30,1.6907324542989253e-06,True
rest,partial,low,100,payload_bytes_med,30,2.1432343822313061e-07,True
rest,partial,medium,1,payload_bytes_med,30,0.00013209318547280477,True
rest,partial,medium,10,payload_bytes_med,30,8.287472653309504e-05,True
