caching,access_pattern,payload_weight,entropy,network,density,concurrency,page_size,metric,group_a,group_b,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
on,unique,heavy,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,30.0,5.572653248454238e-10,0.03333333333333333,-0.9333333333333333,large,40.4314885,48.3067225,5.572653248454238e-10
on,unique,light,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.911843265,49.77218730999999,3.6238312309945887e-10
on,zipfian,heavy,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,39.756921500000004,46.991029,3.6238312309945887e-10
on,zipfian,light,medium,constrained,medium,10,0,lat_p99,rest,graphql,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,40.176013999999995,47.7904835,3.6238312309945887e-10
off,uniform,heavy,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,567.0,0.08499969748696408,0.63,0.26,small,10.007427165370483,10.006903053306237,0.3399987899478563
off,uniform,light,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,722.0,5.970555843419155e-05,0.8022222222222223,0.6044444444444446,large,10.007785830232022,10.006222111648679,0.0007164667012102986
off,unique,heavy,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,638.0,0.005569938587360544,0.7088888888888889,0.4177777777777778,medium,10.007717057240772,10.006035467223516,0.038989570111523805
off,unique,light,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,653.0,0.002754848212054646,0.7255555555555555,0.451111111111111,medium,10.007467045009307,10.006342225376887,0.024793633908491812
off,zipfian,heavy,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,679.0,0.0007295106100696473,0.7544444444444445,0.508888888888889,large,10.00751497629054,9.999957295907441,0.00802461671076612
off,zipfian,light,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,624.0,0.010314672402337998,0.6933333333333332,0.3866666666666665,medium,10.007491352639772,10.005783912496181,0.06188803441402799
on,uniform,heavy,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,647.0,0.003670893392450653,0.718888888888889,0.43777777777777804,medium,10.0074445520663,10.00628119980733,0.029367147139605223
on,uniform,light,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,503.0,0.43764133504824576,0.5588888888888889,0.11777777777777776,negligible,10.006994598725617,10.006500725974842,0.8752826700964915
on,unique,heavy,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,623.0,0.010762612595411516,0.6922222222222222,0.38444444444444437,medium,10.007571110520217,10.005954199530045,0.06188803441402799
on,unique,light,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,677.0,0.0008119975751686967,0.7522222222222223,0.5044444444444447,large,10.007400039934446,10.006375043657957,0.008119975751686968
on,zipfian,heavy,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,532.0,0.22823006680742364,0.5911111111111111,0.18222222222222229,small,10.007360312147359,10.006524719223954,0.6846902004222709
on,zipfian,light,medium,constrained,medium,10,0,throughput_rps,rest,graphql,30,30,487.0,0.5894511694056184,0.5411111111111111,0.0822222222222222,negligible,10.003491414324854,10.006265499453535,0.8752826700964915
off,uniform,heavy,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,900.0,2.8609977053686734e-11,1.0,1.0,large,653.0,502.0,2.5748979348318063e-10
off,uniform,light,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,877.5,2.7299152444915104e-10,0.975,0.95,large,1528.25,1224.5,1.3649576222457552e-09
off,unique,heavy,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,900.0,2.9486980751778254e-11,1.0,1.0,large,655.5,506.0,2.5748979348318063e-10
off,unique,light,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,535.5,0.20880767283944146,0.5950000000000001,0.19000000000000017,small,1364.5,987.25,0.3521469778024171
off,zipfian,heavy,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,900.0,1.117131841880334e-11,1.0,1.0,large,851.0,689.0,1.2787453560665753e-10
off,zipfian,light,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,10.0,1.4575582208073388e-11,0.01111111111111113,-0.9777777777777777,large,1767.0,2049.0,1.457558220807339e-10
on,uniform,heavy,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,900.0,2.932069750452313e-11,1.0,1.0,large,654.75,500.0,2.5748979348318063e-10
on,uniform,light,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,868.0,6.714663866571403e-10,0.9644444444444443,0.9288888888888887,large,1508.5,1191.0,2.6858655466285613e-09
on,unique,heavy,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,900.0,2.9728686875000726e-11,1.0,1.0,large,651.75,498.0,2.5748979348318063e-10
on,unique,light,medium,constrained,medium,10,0,payload_bytes_med,rest,graphql,30,30,542.0,0.17607348890120855,0.6022222222222223,0.20444444444444465,small,1349.75,999.5,0.3521469778024171
