scenario,tier,rate_label,metric,family,group_a,group_b,overload_saturates,n1,n2,u_stat,p_value,a12,cliffs_delta,magnitude,rest_median,graphql_median,p_value_holm
M2,low,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.1801449999999996,11.87168475,1.0871493692983765e-09
M2,medium,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.004970499999999,13.2378395,1.0871493692983765e-09
M2,medium,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.513662500000001,13.21605375,1.0871493692983765e-09
M3,high,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.157069,15.167518000000001,1.0871493692983765e-09
M3,high,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.6673595,15.212322499999999,1.0871493692983765e-09
M3,low,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.658773,13.373276,1.0871493692983765e-09
M3,low,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.1569835,13.3455485,1.0871493692983765e-09
M3,medium,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.760085,13.825742,1.0871493692983765e-09
M3,medium,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.29009,13.6894455,1.0871493692983765e-09
M4,high,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,8.36013,11.860808500000001,1.0871493692983765e-09
M4,high,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.815742999999999,11.784364,1.0871493692983765e-09
M4,low,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.25212475,10.79940075,1.0871493692983765e-09
M4,low,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,6.9308745,10.857723499999999,1.0871493692983765e-09
M4,medium,r40,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.777448,11.32590575,1.0871493692983765e-09
M4,medium,r80,lat_p50,sub_saturation,rest,graphql,,30,30,0.0,3.019859359162157e-11,0.0,-1.0,large,7.2746955,11.205904,1.0871493692983765e-09
