run_uid,block_id,protocol,pattern,density,concurrency,run_index,session_id,ts_start,ts_end,lat_p50,lat_p95,lat_p99,throughput_rps,payload_bytes_med,xproc_p95,xproc_med,error_rate,cpu_mean,cpu_p95,rss_mean_mb,rss_p95_mb,k6_iterations,notes
81991c1271a3,B0018,rest,filtered,low,10,11,run-sesi-1,1781996508.957,1781996569.315,16.477611500000002,23.0794785,29.058741550000008,581.5609788382272,524,0.01762325,0.0115675,0,106.06500000000001,107.9,64.84733333333332,64.85,34896,
4e5842524b7c,B0018,rest,filtered,low,10,12,run-sesi-1,1781996569.323,1781996629.708,16.430255,23.011412999999997,29.776654150000006,580.5991342542617,568,0.017602,0.011538,0,105.88833333333334,108.045,64.85,64.85,34846,
a35588fa7e0a,B0018,rest,filtered,low,10,13,run-sesi-1,1781996629.715,1781996690.085,16.198597,23.2904051,29.95157746999999,590.44186417274,524,0.018044,0.011417,0,105.98,107.9,64.85,64.85,35434,
ca22ce2b8cae,B0018,rest,filtered,low,10,14,run-sesi-1,1781996690.092,1781996750.462,16.379542,23.374836100000003,29.678390960000026,583.9421055329761,524,0.018139,0.011528,0,106.54333333333334,108.045,64.85,64.85,35043,
a8b8a5473696,B0018,rest,filtered,low,10,15,run-sesi-1,1781996750.471,1781996810.828,16.3101505,23.099270850000003,29.098824659999995,585.4893216470757,524,0.017734,0.011472,0,105.51,107.9,64.85,64.85,35138,
f6cf1ffada8a,B0018,rest,filtered,low,10,16,run-sesi-1,1781996810.836,1781996871.184,16.25627,22.664757999999996,28.319783140000027,590.0317077552205,524,0.01737879999999999,0.011421,0,106.09666666666666,108.0,64.85,64.85,35407,
b30b1918ef46,B0018,rest,filtered,low,10,17,run-sesi-1,1781996871.193,1781996931.565,16.310761,23.138268999999998,29.155341360000012,587.492279853923,524,0.0178042,0.01147,0,105.74000000000001,107.9,64.85,64.85,35257,
17708dae11d2,B0018,rest,filtered,low,10,18,run-sesi-1,1781996931.575,1781996991.926,16.3376275,23.10339805,29.144142990000034,585.7550155642575,524,0.017731649999999984,0.011492,0,105.38360655737705,107.9,64.85934426229508,64.88,35150,
3ccfa1513958,B0018,rest,filtered,low,10,19,run-sesi-1,1781996991.935,1781997052.275,16.2426295,22.514128,27.7245895,590.3352771384457,524,0.0170705,0.011335,0,105.48166666666667,107.9,64.88,64.88,35426,
d1d2045346b8,B0018,rest,filtered,low,10,20,run-sesi-1,1781997052.285,1781997112.659,16.218726,22.399089,27.342261520000015,590.4078088303163,524,0.016976800000000004,0.011362,0,105.53166666666667,106.95,64.88,64.88,35433,
f288388f5471,B0018,rest,filtered,low,10,21,run-sesi-1,1781997112.670,1781997173.020,16.517836000000003,23.425336549999997,29.629658400000057,579.598611249633,524,0.017946849999999993,0.01159,0,105.99000000000001,107.9,64.88,64.88,34782,
